"Acce. X_x","Acce. X_y","Acce. Y_x","Acce. Y_y","Acce. Z_x","Acce. Z_y","S. Upper_x","S. Upper_y","S. Lower_x","S. Lower_y"
0.771,10.23,0.771,-0.26,0.771,0.83,0.771,1,0.771,1,
0.775,10.14,0.775,-0.27,0.775,0.67,0.775,1,0.775,1,
0.778,10.1,0.778,-0.29,0.778,0.74,0.778,1,0.778,1,
0.782,10.18,0.782,-0.34,0.782,0.63,0.782,1,0.782,1,
0.785,10.14,0.785,-0.35,0.785,0.64,0.785,1,0.785,1,
0.789,9.95,0.789,-0.25,0.789,0.6,0.789,1,0.789,1,
0.793,10.1,0.793,-0.32,0.793,0.63,0.793,1,0.793,1,
0.796,10.17,0.796,-0.23,0.796,0.52,0.796,1,0.796,1,
0.8,10.13,0.8,-0.18,0.8,0.5,0.8,1,0.8,1,
0.804,10.14,0.804,-0.09,0.804,0.61,0.804,1,0.804,1,
0.808,10.25,0.808,-0.06,0.808,0.53,0.808,1,0.808,1,
0.812,10.25,0.812,-0.03,0.812,0.34,0.812,1,0.812,1,
0.816,10.21,0.816,0.01,0.816,0.34,0.816,1,0.816,1,
0.819,10.23,0.819,0.24,0.819,0.57,0.819,1,0.819,1,
0.823,10.27,0.823,0.37,0.823,0.54,0.823,1,0.823,1,
0.827,10.12,0.827,0.53,0.827,0.31,0.827,1,0.827,1,
0.83,10.23,0.83,0.64,0.83,0.33,0.83,1,0.83,1,
0.834,10.29,0.834,0.7,0.834,0.36,0.834,1,0.834,1,
0.837,10.22,0.837,0.7,0.837,0.26,0.837,1,0.837,1,
0.841,10.09,0.841,0.77,0.841,0.31,0.841,1,0.841,1,
0.845,10.07,0.845,0.85,0.845,0.32,0.845,1,0.845,1,
0.848,9.97,0.848,0.95,0.848,0.34,0.848,1,0.848,1,
0.853,9.92,0.853,0.95,0.853,0.35,0.853,1,0.853,1,
0.857,9.89,0.857,0.98,0.857,0.37,0.857,1,0.857,1,
0.86,9.82,0.86,0.99,0.86,0.43,0.86,1,0.86,1,
0.864,9.74,0.864,0.88,0.864,0.34,0.864,1,0.864,1,
0.868,9.78,0.868,0.86,0.868,0.38,0.868,1,0.868,1,
0.871,9.81,0.871,0.75,0.871,0.53,0.871,1,0.871,1,
0.875,9.8,0.875,0.73,0.875,0.56,0.875,1,0.875,1,
0.879,9.76,0.879,0.63,0.879,0.62,0.879,1,0.879,1,
0.882,9.72,0.882,0.57,0.882,0.63,0.882,1,0.882,1,
0.886,9.67,0.886,0.57,0.886,0.58,0.886,1,0.886,1,
0.89,8.99,0.89,0.49,0.89,0.68,0.89,1,0.89,1,
0.895,-2.41,0.895,-1.86,0.895,-2.99,0.895,1,0.895,1,
0.898,9.71,0.898,-0.05,0.898,0.37,0.898,1,0.898,1,
0.902,8.21,0.902,-6.38,0.902,2.82,0.902,1,0.902,0,
0.906,-4.64,0.906,3.1,0.906,4.89,0.906,1,0.906,0,
0.909,1.25,0.909,-0.61,0.909,-0.95,0.909,1,0.909,0,
0.913,5.86,0.913,-0.96,0.913,3.87,0.913,1,0.913,0,
0.917,7.47,0.917,1.05,0.917,1.06,0.917,1,0.917,0,
